endpoint_id,method,path,url,price_usd,price_scheme,price_usd_min,price_usd_upto,networks,payTo,description,auth
search_products,GET,/api/v1/search,https://agentshare.dev/api/v1/search,0.001,exact,,,eip155:8453,0xd2C20f7310aA964e8f9E5A41c38F468dDf57aac5,Multi-listing product search,"x402,api_key"
best_offer,GET,/api/v1/offers/best,https://agentshare.dev/api/v1/offers/best,0.001,exact,,,eip155:8453,0xd2C20f7310aA964e8f9E5A41c38F468dDf57aac5,Single cheapest in-stock offer,"x402,api_key"
commerce_quote,POST,/api/v1/agent/commerce/quote,https://agentshare.dev/api/v1/agent/commerce/quote,0.002,upto,,0.025,eip155:8453,0xd2C20f7310aA964e8f9E5A41c38F468dDf57aac5,ACP commerce quote envelope,"x402,api_key"
meteora_brief,POST,/api/v1/agent/defi/meteora/brief,https://agentshare.dev/api/v1/agent/defi/meteora/brief,0.069069,dynamic,0.01,0.3,eip155:8453,2SzVJwBkrYHVCyHzMSfojKHmZSPxccw63caXDseg5jb2,Meteora DLMM pool brief (evidence-first verdict/risk). Dynamic pricing applies based on market volatility (momentum) and resource velocity (fee velocity + demand heat). Band: $0.01–$0.30 USDC (base $0.03; quiet markets discount; hot markets surge up to 10×). Always read the exact real-time quote from the HTTP 402 PAYMENT-REQUIRED header (Base64 JSON → accepts[].amount) or response meta.billing.price_usd_live — do not hard-code a fixed price.,"x402,api_key"
